Job Title,Company Name,Location,Link
कथाका कीताबहरु छपाईका लागी दर भाउ पत्र आह्वान सम्बन्धमा ।,Community Development Centre (CDC),Doti,['https://www.jobsnepal.com/kathaka-katabhara-chhapaiika-lga-thara-bhau-patara-aahavana-samabnathhama-132814']
Short Term: To strengthen marketing skills of Business Development Service (BDS) Officers of selected Savings and Credit Cooperatives (SACCOS),Deloitte,"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh",['https://www.jobsnepal.com/short-term-to-strengthen-marketing-skills-of-business-development-service-bds-officers-of-selected-savings-and-credit-cooperatives-saccos-132813']
"Short-Term Technical Assistance (STTA): To provide technical support for coordination, management, and organization Maya Devi Trail Run event in Lumbini",Deloitte,Lumbini Province,['https://www.jobsnepal.com/short-term-technical-assistance-stta-to-provide-technical-support-for-coordination-management-and-organization-maya-devi-trail-run-event-in-lumbini-132812']
Vacancy Announcement for Various Positions,NNSWA,"Surkhet, Kailali, Kanchanpur, Jajarkot",['https://www.jobsnepal.com/vacancy-announcement-for-various-positions-132811']
Expression of Interest for Consultancy Services for Survey and Preparation of the Detailed Engineering Study & Design Report,dZi Foundation,Lalitpur,['https://www.jobsnepal.com/expression-of-interest-for-consultancy-services-for-survey-and-preparation-of-the-detailed-engineering-study-design-report-132810']
Request for Application (RFA),The Asia Foundation,Madhesh Province,['https://www.jobsnepal.com/request-for-application-rfa-132809']
"Nursing, HA with Public Health / Admin Finance Officer",Village Development and Save the    Environment Forum (VDSEF) Nepal Kalikot,Kalikot,['https://www.jobsnepal.com/nursing-ha-with-public-health-admin-finance-officer-132808']
Call for Proposal – Land Use Planning Consultancy,Habitat Nepal,"Nepal, Sudurpashchim Province",['https://www.jobsnepal.com/call-for-proposal-land-use-planning-consultancy-132807']
Senior Medical Officer (Re-Vacancy),International Nepal Fellowship,Banke,['https://www.jobsnepal.com/senior-medical-officer-re-vacancy-132805']
Request for Applications (RFA) For Educational Landscape Study of Madhesh and Lumbini Province,The Asia Foundation,"Madhesh Province, Lumbini Province",['https://www.jobsnepal.com/request-for-applications-rfa-for-educational-landscape-study-of-madhesh-and-lumbini-province-132804']
Revenue Specialist,Deloitte Consulting Overseas Projects LLC,"Butwal, Lumbini Province",['https://www.jobsnepal.com/revenue-specialist-132803']
Request for Full Application,Deloitte,Kathmandu,['https://www.jobsnepal.com/request-for-full-application-132802']
कथाका कीताबहरु छपाईका लागी दर भाउ पत्र आह्वान सम्बन्धमा ।,Community Development Centre (CDC),Doti,['https://www.jobsnepal.com/kathaka-katabhara-chhapaiika-lga-thara-bhau-patara-aahavana-samabnathhama-132814']
Short Term: To strengthen marketing skills of Business Development Service (BDS) Officers of selected Savings and Credit Cooperatives (SACCOS),Deloitte,"Gandaki Province, Bagmati Province, Lumbini Province, Koshi Pradesh",['https://www.jobsnepal.com/short-term-to-strengthen-marketing-skills-of-business-development-service-bds-officers-of-selected-savings-and-credit-cooperatives-saccos-132813']
"Short-Term Technical Assistance (STTA): To provide technical support for coordination, management, and organization Maya Devi Trail Run event in Lumbini",Deloitte,Lumbini Province,['https://www.jobsnepal.com/short-term-technical-assistance-stta-to-provide-technical-support-for-coordination-management-and-organization-maya-devi-trail-run-event-in-lumbini-132812']
Vacancy Announcement for Various Positions,NNSWA,"Surkhet, Kailali, Kanchanpur, Jajarkot",['https://www.jobsnepal.com/vacancy-announcement-for-various-positions-132811']
Expression of Interest for Consultancy Services for Survey and Preparation of the Detailed Engineering Study & Design Report,dZi Foundation,Lalitpur,['https://www.jobsnepal.com/expression-of-interest-for-consultancy-services-for-survey-and-preparation-of-the-detailed-engineering-study-design-report-132810']
Request for Application (RFA),The Asia Foundation,Madhesh Province,['https://www.jobsnepal.com/request-for-application-rfa-132809']
"Nursing, HA with Public Health / Admin Finance Officer",Village Development and Save the    Environment Forum (VDSEF) Nepal Kalikot,Kalikot,['https://www.jobsnepal.com/nursing-ha-with-public-health-admin-finance-officer-132808']
Call for Proposal – Land Use Planning Consultancy,Habitat Nepal,"Nepal, Sudurpashchim Province",['https://www.jobsnepal.com/call-for-proposal-land-use-planning-consultancy-132807']
Senior Medical Officer (Re-Vacancy),International Nepal Fellowship,Banke,['https://www.jobsnepal.com/senior-medical-officer-re-vacancy-132805']
Request for Applications (RFA) For Educational Landscape Study of Madhesh and Lumbini Province,The Asia Foundation,"Madhesh Province, Lumbini Province",['https://www.jobsnepal.com/request-for-applications-rfa-for-educational-landscape-study-of-madhesh-and-lumbini-province-132804']
Revenue Specialist,Deloitte Consulting Overseas Projects LLC,"Butwal, Lumbini Province",['https://www.jobsnepal.com/revenue-specialist-132803']
Request for Full Application,Deloitte,Kathmandu,['https://www.jobsnepal.com/request-for-full-application-132802']
Public Health Asistant,RUDEC Nepal,Nuwakot,['https://www.jobsnepal.com/public-health-asistant-132801']
Tender Notice,Islamic Relief Nepal,Lalitpur,['https://www.jobsnepal.com/tender-notice-132800']
Near Peer & Volunteer पदको रोष्टरको लागि आह्वान,Bagmati Welfare Society Nepal(BWSN),Sarlahi,['https://www.jobsnepal.com/near-peer-volunteer-pathaka-rashhataraka-lga-aahavana-132799']
Expression of Interest (EOI),Helvetas Nepal,Lalitpur,['https://www.jobsnepal.com/expression-of-interest-eoi-132798']
Community Facilitator - 3 positions,Nepal Red Cross Society - Karnali Province,Development / NGO,['https://www.jobsnepal.com/community-facilitator-3-positions-132797']
Call for Consultant: Medical Cargo Drone Expert,Nepal Flying Labs,Kathmandu,['https://www.jobsnepal.com/call-for-consultant-medical-cargo-drone-expert-132796']
Various Positions,"Panchtara Yuwa Samrakshak Manch (PTYSM) ,Jajarkot",Jajarkot,['https://www.jobsnepal.com/various-positions-132795']
Expression of Interest for Social Audit,Rural Health and Education Service Trust (RHEST),"Lalitpur, Kailali, Kanchanpur, Makwanpur, Udayapur, sindhupalchowk, Bardiya",['https://www.jobsnepal.com/expression-of-interest-for-social-audit-132794']
Terms of Reference for Branding/Marketing,Heifer International Nepal,Lalitpur,['https://www.jobsnepal.com/terms-of-reference-for-brandingmarketing-132793']
Project Manager,The Organic Valley Pvt Ltd,Surkhet,['https://www.jobsnepal.com/project-manager-132792']
Finance and Admin Officer,The Organic Valley Pvt Ltd,Surkhet,['https://www.jobsnepal.com/finance-and-admin-officer-132791']
Accountant,The Organic Valley Pvt Ltd,Kailali,['https://www.jobsnepal.com/accountant-132790']
मनोविमर्शकर्ता ( कालिकोट / सुर्खेत),TPO Nepal,"Kalikot, Birendranagar Surkhet",['https://www.jobsnepal.com/manavamarashakarata-kalkata-sarakhata-132789']
मनोविमर्शकर्ता (जाजरकोट/रुकुम पश्चिम),TPO Nepal,"Rukum West, Jajarkot",['https://www.jobsnepal.com/manavamarashakarata-jajarakatarakama-pashacama-132788']
Call for Proposal For Design and Development of Business Model for a Digital Public Good tool,Nepal Flying Labs,Kathmandu,['https://www.jobsnepal.com/call-for-proposal-for-design-and-development-of-business-model-for-a-digital-public-good-tool-132787']
Senior Program Officer,Zoological Society of London,Kathmandu,['https://www.jobsnepal.com/senior-program-officer-132786']
Project Coordinator,UN Nepal Gorkha,Gorkha,['https://www.jobsnepal.com/project-coordinator-132785']
शिलबन्दी कोटेशन (RFQ) आह्वानको सूचना,Integrated Rural Development Society,Mahottari,['https://www.jobsnepal.com/shalbnatha-katashana-rfq-aahavanaka-sacana-132784']
Tender notice for the supply of microscopes,Save the Children,Kathmandu,['https://www.jobsnepal.com/tender-notice-for-the-supply-of-microscopes-132783']
Call for Proposal for Preparation of Detailed Project Report (DPR) and Bill of Quantities (BOQ) for the modern abattoir project,Heifer Project Nepal,Lalitpur,['https://www.jobsnepal.com/call-for-proposal-for-preparation-of-detailed-project-report-dpr-and-bill-of-quantities-boq-for-the-modern-abattoir-project-132782']
EXPRESSION OF INTEREST (EOI) FOR PARTNERSHIP,MDM France,Kathmandu,['https://www.jobsnepal.com/expression-of-interest-eoi-for-partnership-132781']
Invitation for Bids,International Nepal Fellowship,Pokhara,['https://www.jobsnepal.com/invitation-for-bids-132780']
Bio-Medical Equipment Technician (Re- Vacancy),International Nepal Fellowship,Pokhara,['https://www.jobsnepal.com/bio-medical-equipment-technician-re-vacancy-132779']
Provincial Officer,Winrock International - Hamro Samman Project,Kathmandu,['https://www.jobsnepal.com/provincial-officer-132778']
EOI Call for Consultant,Community Improvement Center,"Surkhet, Dhanusha",['https://www.jobsnepal.com/eoi-call-for-consultant-132777']
Communication and Documentation Coordinator,Winrock International - Hamro Samman Project,Kathmandu,['https://www.jobsnepal.com/communication-and-documentation-coordinator-132776']
Grants and Procurement Manager,USAID Biodiversity (Jal Jangal),Kathmandu,['https://www.jobsnepal.com/grants-and-procurement-manager-132775']
Strategic Partnership Manager,Winrock International - Hamro Samman Project,Kathmandu,['https://www.jobsnepal.com/strategic-partnership-manager-132774']
Project Coordinator (PC),Samagra Jan Utthan Kendra (SAMAGRA),"Siraha, Saptari",['https://www.jobsnepal.com/project-coordinator-pc-132773']
Various Positions,National Environment and Equity Development Society (NEEDS Nepal),Kanchanpur,['https://www.jobsnepal.com/various-positions-132772']
Finance Officer - Surkhet,People in  Need,,['https://www.jobsnepal.com/finance-officer-surkhet-132771']
Programme Finance Coordinator for Surkhet,People in  Need,,['https://www.jobsnepal.com/programme-finance-coordinator-for-surkhet-132770']
SJP Project Manager for Madhesh,People in  Need,,['https://www.jobsnepal.com/sjp-project-manager-for-madhesh-132769']
ACCESS Provincial Coordinator for Sudurpaschim,People in  Need,,['https://www.jobsnepal.com/access-provincial-coordinator-for-sudurpaschim-132768']
Finance and Administration Clerk,Lutheran World Relief,Lalitpur,['https://www.jobsnepal.com/finance-and-administration-clerk-132767']
Vacancy Announcement for Teachers,Nepal APF School Kohalpur,Banke,['https://www.jobsnepal.com/vacancy-announcement-for-teachers-132766']
Program Associate,Nepal Investigative Multimedia Journalism Network,Kathmandu,['https://www.jobsnepal.com/program-associate-132765']
Vacancy Announcement for Project Coordinator,SabalNepal,Development / NGO,['https://www.jobsnepal.com/vacancy-announcement-for-project-coordinator-132764']
Call for Proposal to Conduct Research on UMN’s Disability – Inclusive Development (DID) Project,United Mission to Nepal,Kathmandu,['https://www.jobsnepal.com/call-for-proposal-to-conduct-research-on-umns-disability-inclusive-development-did-project-132763']
Market Development Coordinators,"Sundar Nepal Sanstha (BNA), surkhet","Kanchanpur, Banke, Doti, Achham",['https://www.jobsnepal.com/market-development-coordinators-132762']
CONSTRUCTION TECHNICAL SUPERVISOR/ADVISOR,Rural Women Development Centre,Dang,['https://www.jobsnepal.com/construction-technical-supervisoradvisor-132761']
React Developer,ThemeGrill Pvt Ltd,Kathmandu,['https://www.jobsnepal.com/react-developer-132760']
PHP Developer,ThemeGrill Pvt Ltd,Kathmandu,['https://www.jobsnepal.com/php-developer-132759']
Various Teacher Positions,Yangri Academic Center,sindhupalchowk,['https://www.jobsnepal.com/various-teacher-positions-132758']
Community Mobilizer,Samyukta Safai Jagaran,Kathmandu,['https://www.jobsnepal.com/community-mobilizer-132757']
Admin and Finance Officer,Rural Oriented Youth Movement Nepal (ROYM Nepal),Rautahat,['https://www.jobsnepal.com/admin-and-finance-officer-132756']
TENDER NOTICE,Save the Children,Kathmandu,['https://www.jobsnepal.com/tender-notice-132755']
Field Assistant  based in the field,Bahadur Social Project,Kathmandu,['https://www.jobsnepal.com/field-assistant-based-in-the-field-132754']
साक्षरता सहजकर्ता (Literacy Facilitator),UN Nepal Gorkha,Gorkha,['https://www.jobsnepal.com/sakashharata-sahajakarata-literacy-facilitator-132753']
Driver,IOM Nepal,Kathmandu,['https://www.jobsnepal.com/driver-132752']
Scoping Study For Alternative Water Supply Service Operating And Management Model,USAID Karnali Water Activity,Kathmandu,['https://www.jobsnepal.com/scoping-study-for-alternative-water-supply-service-operating-and-management-model-132751']
TERM OF REFERENCE FOR IMPACT LEVEL VIDEO OF EARLY START PROJECT,Everest Club,Dailekh,['https://www.jobsnepal.com/term-of-reference-for-impact-level-video-of-early-start-project-132750']
शिलबन्दी दरभाउपत्र आह्वानको सूचना,Jan Kalyan Yuwa Samittee,Rautahat,['https://www.jobsnepal.com/shalbnatha-tharabhaupatara-aahavanaka-sacana-132749']
Request for Annual Vendor Enrollment for Roster (Re-Announcement),APEIRON,Kathmandu,['https://www.jobsnepal.com/request-for-annual-vendor-enrollment-for-roster-re-announcement-132748']
Various Position,World Vision International Nepal,Lalitpur,['https://www.jobsnepal.com/various-position-132747']
Request for Proposal – Event Management,Habitat Nepal,Kathmandu,['https://www.jobsnepal.com/request-for-proposal-event-management-132746']
Request for Proposal (RFP) for External Audit,Good Neighbors International,Lalitpur,['https://www.jobsnepal.com/request-for-proposal-rfp-for-external-audit-132745']
Action Fund Manager,USAID Tayar Nepal,Kathmandu,['https://www.jobsnepal.com/action-fund-manager-132744']
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service,"Kathmandu, Lalitpur",['https://www.jobsnepal.com/crew-member-all-rounder-132743']
Request for Quotation for Procurement of Insurance Services,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Kathmandu,['https://www.jobsnepal.com/request-for-quotation-for-procurement-of-insurance-services-132742']
मेन्टर (Mentor),SETO GURANS NATIONAL CHILD DEVELOPMENT SERVICES,"Ramechhap, Bagmati Province",['https://www.jobsnepal.com/manatara-mentor-132741']
Term of Reference: Seven Step Planning Consultant,Youth Innovation Lab,Kathmandu,['https://www.jobsnepal.com/term-of-reference-seven-step-planning-consultant-132740']
Expression of Interest (EOI) – International Competitive Bidding Expert,Deloitte Consulting Overseas Projects LLC,Kathmandu,['https://www.jobsnepal.com/expression-of-interest-eoi-international-competitive-bidding-expert-132739']
Request for Proposal (RFP),Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Kathmandu,['https://www.jobsnepal.com/request-for-proposal-rfp-132738']
Sr. Dot Net Developer,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,['https://www.jobsnepal.com/sr-dot-net-developer-132737']
Sales And Marketing Manager for Commercial EV Vehicle,Birgunj Foton Motors Pvt.Ltd,Birgunj,['https://www.jobsnepal.com/sales-and-marketing-manager-for-commercial-ev-vehicle-132736']
Software ﻿QA Engineer Testing  Mid,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,['https://www.jobsnepal.com/software-qa-engineer-testing-mid-132735']
Software Developer (Mid) Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS),Kathmandu,['https://www.jobsnepal.com/software-developer-mid-dot-net-132734']
Admin and Human Resource Officer,The Organic Valley Pvt Ltd,Lalitpur,['https://www.jobsnepal.com/admin-and-human-resource-officer-132733']
Terms of Reference for Short-Term Consultant,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Kathmandu,['https://www.jobsnepal.com/terms-of-reference-for-short-term-consultant-132732']
Invitation for Bid - Promoting gender equality through education in Dhanusha District (Shikshya),Aasaman Nepal,"Janakpur, Dhanusha",['https://www.jobsnepal.com/invitation-for-bid-promoting-gender-equality-through-education-in-dhanusha-district-shikshya-132731']
कर्मचारी आवश्यकता सम्वन्धी सूचना,PAHAL NEPAL,Arghakhanchi,['https://www.jobsnepal.com/karamacara-aavashayakata-samavanathha-sacana-132730']
Research Officer,Freedom Studio,Kathmandu,['https://www.jobsnepal.com/research-officer-132729']
