Job Title,Company Name,Location,Link
Project Coordinator – Simulation Lab,One Heart Worldwide,Kathmandu,['https://www.jobsnepal.com/project-coordinator-simulation-lab-132728']
Notice for Request for Proposal (RFP) for consultancy service,Digo Bikash Samaj,Kailali,['https://www.jobsnepal.com/notice-for-request-for-proposal-rfp-for-consultancy-service-132727']
"Senior Planning, Monitoring, Evaluation and Learning (PMEL) Officer",YUWA,Kathmandu,['https://www.jobsnepal.com/senior-planning-monitoring-evaluation-and-learning-pmel-officer-132726']
Obstetrician/Gynaecologist,Okhaldhunga Community Hospital,Okhaldhunga,['https://www.jobsnepal.com/obstetriciangynaecologist-132725']
EOI call for 3 days of Refresher Paralegal Training,National Federation of Women Living with HIV & AIDS,Kathmandu,['https://www.jobsnepal.com/eoi-call-for-3-days-of-refresher-paralegal-training-132724']
Hospital Physiotherapy Officer,Okhaldhunga Community Hospital,Okhaldhunga,['https://www.jobsnepal.com/hospital-physiotherapy-officer-132723']
Travel Consultant/ Ticketing officer,DOKO TOURS PTY LTD,Kathmandu,['https://www.jobsnepal.com/travel-consultant-ticketing-officer-132722']
Research Consultant / Local Enumerator,"Save the Saptari, Rajbiraj",Madhesh Province,['https://www.jobsnepal.com/research-consultant-local-enumerator-132721']
Civil Engineer,Engineering & Planning Solution Consultancy Pvt. Ltd,Lalitpur,['https://www.jobsnepal.com/civil-engineer-132719']
Electrical Engineer,Shuvi Engineering Pvt. Ltd.,Lalitpur,['https://www.jobsnepal.com/electrical-engineer-132718']
सूचि दर्ता गर्ने सम्बन्धी सूचना,Sahayogi Samaj Nepal,Sarlahi,['https://www.jobsnepal.com/saca-tharata-garana-samabnathha-sacana-132717']
Wordpress FSE Developer,DOTMARK  SOLUTIONS,Lalitpur,['https://www.jobsnepal.com/wordpress-fse-developer-132716']
Vacancy Announcement of Canteen/Café Cook and Kitchen Assistance/Waiter,Sing Gurkha Investment  Ltd,Kathmandu,['https://www.jobsnepal.com/vacancy-announcement-of-canteencafe-cook-and-kitchen-assistancewaiter-132715']
Program Support Consultant,MDM France,Kathmandu,['https://www.jobsnepal.com/program-support-consultant-132714']
"Short-Term Technical Consultant for Review and upgradation of the Existing GRB Directives of MoF, 2069",Deloitte Consulting Overseas Projects LLC,Kathmandu,['https://www.jobsnepal.com/short-term-technical-consultant-for-review-and-upgradation-of-the-existing-grb-directives-of-mof-2069-132713']
Short-Term Technical Consultant for Review and Update of the Existing Periodic Plan of the selected Local Governments (LGs),Deloitte Consulting Overseas Projects LLC,Kathmandu,['https://www.jobsnepal.com/short-term-technical-consultant-for-review-and-update-of-the-existing-periodic-plan-of-the-selected-local-governments-lgs-132712']
TOR: Development of Expenditure standards/norms for LGs,Deloitte Consulting Overseas Projects LLC,Kathmandu,['https://www.jobsnepal.com/tor-development-of-expenditure-standardsnorms-for-lgs-132711']
"Project Coordinator, Education- District based",VSO Nepal,Baglung,['https://www.jobsnepal.com/project-coordinator-education-district-based-132710']
Cluster Field Officer / Field Assistant,Astha Nepal,"Dadeldhura, Doti, Achham",['https://www.jobsnepal.com/cluster-field-officer-field-assistant-132708']
Call For Expression of Interest (EOI) For Training Management for 3-day Hollow Concrete Block (HCB) Quality Enhancement Training,MinErgy Private Limited,Lalitpur,['https://www.jobsnepal.com/call-for-expression-of-interest-eoi-for-training-management-for-3-day-hollow-concrete-block-hcb-quality-enhancement-training-132706']
Call For Expression Of Interest (EOI) Lead Trainer and Assistant Trainer for 3-day Hollow Concrete Block (HCB) Quality Enhancement Training,MinErgy Private Limited,Lalitpur,['https://www.jobsnepal.com/call-for-expression-of-interest-eoi-lead-trainer-and-assistant-trainer-for-3-day-hollow-concrete-block-hcb-quality-enhancement-training-132705']
Terms of Reference for Development of a Public Service Announcement (PSA) Video,Center for Dalit Women Nepal,Kathmandu,['https://www.jobsnepal.com/terms-of-reference-for-development-of-a-public-service-announcement-psa-video-132704']
TOR: Development of Project Bank Guidelines for Provincial Governments (PGs) and Local Governments (LGs)  - READVERTISEMENT,Deloitte Consulting Overseas Projects LLC,Kathmandu,['https://www.jobsnepal.com/tor-development-of-project-bank-guidelines-for-provincial-governments-pgs-and-local-governments-lgs-readvertisement-132703']
Cluster Coordinator (Level 8),LI-BIRD,Jumla,['https://www.jobsnepal.com/cluster-coordinator-level-8-132702']
Research Manager,CareerNepalConsult,Kathmandu,['https://www.jobsnepal.com/research-manager-132701']
Operations Manager,CRS Nepal,Lalitpur,['https://www.jobsnepal.com/operations-manager-132700']
प्रस्तावना आह्वान सम्वन्धी सूचना,"Hilly Region Development Campaign (HRDC), Jajarkot",Jajarkot,['https://www.jobsnepal.com/parasatavana-aahavana-samavanathha-sacana-132698']
Grants Associate,Visible Impact,Kathmandu,['https://www.jobsnepal.com/grants-associate-132697']
Payment Manager (English + Hindi/ Nepali),Insolutions,"Kathmandu, Bhaktapur, Lalitpur, Pokhara, Terai Region, Eastern Region, Western Region, Far-Western Region, Damak, Kavre, Mahendra Nagar",['https://www.jobsnepal.com/payment-manager-english-hindi-nepali-132695']
"Monitoring, Evaluation and Learning Coordinator",Shakti Samuha,Kathmandu,['https://www.jobsnepal.com/monitoring-evaluation-and-learning-coordinator-132693']
Terms of Reference (Study on Prospective Impact Investors for Women-led Businesses in Nepal),Heifer International Nepal,Lalitpur,['https://www.jobsnepal.com/terms-of-reference-study-on-prospective-impact-investors-for-women-led-businesses-in-nepal-132691']
Various Positions,CREASION,Chitwan,['https://www.jobsnepal.com/various-positions-132690']
Various Positions,World Education,Kathmandu,['https://www.jobsnepal.com/various-positions-132689']
REQUEST FOR PROPOSAL,Save the Children,Kathmandu,['https://www.jobsnepal.com/request-for-proposal-132688']
Chief Executive Officer,CRS Healthcare Pvt Ltd,Kathmandu,['https://www.jobsnepal.com/chief-executive-officer-132686']
समाग्री आपूर्तिको लागि टेन्डर आह्वानको सूचना ।,"Panchtara Yuwa Samrakshak Manch (PTYSM) ,Jajarkot",Jajarkot,['https://www.jobsnepal.com/samagara-aaparataka-lga-tanadara-aahavanaka-sacana-132684']
अस्थाइ शौचालय तथा धारा जडान सम्वन्धि टेण्डर माग सम्बन्धमा  सुचना!,"Panchtara Yuwa Samrakshak Manch (PTYSM) ,Jajarkot",Jajarkot,['https://www.jobsnepal.com/asathai-shacalya-tatha-thhara-jadana-samavanathha-tanaedara-maga-samabnathhama-sacana-132683']
Monitoring & Documentation Officer [MDO],Abhiyan Nepal,Rautahat,['https://www.jobsnepal.com/monitoring-documentation-officer-mdo-132682']
Expression of Interest,NIVAS,"Nepal, Dang, Rajpur",['https://www.jobsnepal.com/expression-of-interest-132680']
Call for Consultant Roster,One Heart Worldwide,Kathmandu,['https://www.jobsnepal.com/call-for-consultant-roster-132678']
Call for Expression of Interest (EOI) for the Mid-term Evaluation,SAHAS Nepal,Lalitpur,['https://www.jobsnepal.com/call-for-expression-of-interest-eoi-for-the-mid-term-evaluation-132677']
Private Sector Partnerships and Investment Lead,USAID Biodiversity (Jal Jangal),Kathmandu,['https://www.jobsnepal.com/private-sector-partnerships-and-investment-lead-132675']
Invitation of Sealed Quotation For Printing of Documents,Green Tara Nepal(GTN),Kathmandu,['https://www.jobsnepal.com/invitation-of-sealed-quotation-for-printing-of-documents-132674']
Private Sector Partnerships and Investment Director,USAID Biodiversity (Jal Jangal),Kathmandu,['https://www.jobsnepal.com/private-sector-partnerships-and-investment-director-132673']
TERMS OF REFERENCE For DEVELOPMENT OF NWASH MIS TOOLKIT  (Re-advertisement),Welthungerhilfe,Lalitpur,['https://www.jobsnepal.com/terms-of-reference-for-development-of-nwash-mis-toolkit-re-advertisement-132672']
Request for Proposal,USAID Biodiversity (Jal Jangal),Kathmandu,['https://www.jobsnepal.com/request-for-proposal-132671']
Request for a proposal (RFP) for child profile development,NNSWA,Kanchanpur,['https://www.jobsnepal.com/request-for-a-proposal-rfp-for-child-profile-development-132670']
Project Technical Support Officer (Consultant),SNV Nepal,Sarlahi,['https://www.jobsnepal.com/project-technical-support-officer-consultant-132669']
Project Support Officer (Consultant),SNV Nepal,Sarlahi,['https://www.jobsnepal.com/project-support-officer-consultant-132668']
Sr Environment Safeguarding Officer,CREASION,Kathmandu,['https://www.jobsnepal.com/sr-environment-safeguarding-officer-132666']
Regional Office Coordinator / Communications Specialist,CREASION,"Kathmandu, Chitwan",['https://www.jobsnepal.com/regional-office-coordinator-communications-specialist-132665']
FRONT DESK OFFICER / OFFICE ASSISTANCE,Freight Nepal Logistics Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/front-desk-officer-office-assistance-132664']
Human Resource Manager,USAID Karnali Water Activity,Kathmandu,['https://www.jobsnepal.com/human-resource-manager-132663']
"Climate, Resilience and Agriculture Officer- CRAG Officer",iDE Nepal,Lalitpur,['https://www.jobsnepal.com/climate-resilience-and-agriculture-officer-crag-officer-132661']
REQUEST FOR QUOTATION (RFQ),USAID Tayar Nepal,Kathmandu,['https://www.jobsnepal.com/request-for-quotation-rfq-132657']
REQUEST FOR QUOTATION,USAID Tayar Nepal,Kathmandu,['https://www.jobsnepal.com/request-for-quotation-132656']
LDCRP EXPERT,Restless Development,Kathmandu,['https://www.jobsnepal.com/ldcrp-expert-132655']
Mobile Channel Sales Director,INTERNET HARBOR PVT LTD,Kathmandu,['https://www.jobsnepal.com/mobile-channel-sales-director-132654']
REQUEST FOR QUOTATION,USAID Tayar Nepal,Kathmandu,['https://www.jobsnepal.com/request-for-quotation-132652']
Call for Expression of Interest (EOI),Terre des hommes Foundation In Nepal (Tdh),Lalitpur,['https://www.jobsnepal.com/call-for-expression-of-interest-eoi-132651']
ETL Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/etl-developer-132649']
Program Officer,YUWA,Kathmandu,['https://www.jobsnepal.com/program-officer-132647']
"Expression of Interest (EOI) for the consultancy services on TECHNICAL SUPPORT TO DEVELOP HEALTH POLICY IN ISHWORPUR MUNICIPALITY, SARLAHI, MADHESH PRADESH",Rural Women Upliftment Association (RWUA),"Terai Region, Sarlahi",['https://www.jobsnepal.com/expression-of-interest-eoi-for-the-consultancy-services-on-technical-support-to-develop-health-policy-in-ishworpur-municipality-sarlahi-madhesh-pradesh-132646']
National Programme Officer – Federal State Building,Embassy of Switzerland in Nepal,Lalitpur,['https://www.jobsnepal.com/national-programme-officer-federal-state-building-132644']
Internal Auditor -Consultant,Kopila Valley Sewa Samaj,Birendranagar Surkhet,['https://www.jobsnepal.com/internal-auditor-consultant-132638']
Nursing Officer,Kopila Valley Sewa Samaj,Birendranagar Surkhet,['https://www.jobsnepal.com/nursing-officer-132636']
Nutrition Officer,Kopila Valley Sewa Samaj,Birendranagar Surkhet,['https://www.jobsnepal.com/nutrition-officer-132634']
Assistant Officer - Admin and Logistic,Action Against Hunger | ACTION CONTRE LA FAIM (ACF),Kathmandu,['https://www.jobsnepal.com/assistant-officer-admin-and-logistic-132633']
Field Supervisor (Multi-Sectoral Program),Action Against Hunger | ACTION CONTRE LA FAIM (ACF),Udayapur,['https://www.jobsnepal.com/field-supervisor-multi-sectoral-program-132632']
Nutrition and Health Expert,Action Against Hunger | ACTION CONTRE LA FAIM (ACF),Kathmandu,['https://www.jobsnepal.com/nutrition-and-health-expert-132631']
SJP Safeguarding Technical Officer for Karnali,People in  Need,,['https://www.jobsnepal.com/sjp-safeguarding-technical-officer-for-karnali-132626']
Civil Engineer,P S Construction Company Pvt Ltd,Other - Specify,['https://www.jobsnepal.com/civil-engineer-132621']
Call for Applications - Training on IT Skills Development Program.,FAITH,,['https://www.jobsnepal.com/call-for-applications-training-on-it-skills-development-program-132618']
Sr. Sales Executive,Hotel Country Villa,Kathmandu,['https://www.jobsnepal.com/sr-sales-executive-132615']
Request for Proposal on “Implementation of Climate Smart Village (CSV) Model within Provincial and Local Government”,USAID Biodiversity (Jal Jangal),Kathmandu,['https://www.jobsnepal.com/request-for-proposal-on-implementation-of-climate-smart-village-csv-model-within-provincial-and-local-government-132613']
शिलबन्दी बोलपत्र आह्वानको सूचना,Rural Development Centre Nepal,Rautahat,['https://www.jobsnepal.com/shalbnatha-blpatara-aahavanaka-sacana-132610']
System/Network Intern,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),Lalitpur,['https://www.jobsnepal.com/systemnetwork-intern-132601']
Software Engineer - Development,ComplianceQuest Nepal Pvt. Ltd.,Lalitpur,['https://www.jobsnepal.com/software-engineer-development-132589']
Traineeship/Trainee,Pro Public,"Kathmandu, Kapilvastu",['https://www.jobsnepal.com/traineeshiptrainee-132588']
REQUEST FOR PROPOSAL,Save the Children,Kathmandu,['https://www.jobsnepal.com/request-for-proposal-132587']
UI/UX Consultant,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),Lalitpur,['https://www.jobsnepal.com/uiux-consultant-132585']
Agro-Forestry Trainer/Finance Assistant,ECOHIMAL NEPAL,"Kathmandu, Kavrepalanchowk",['https://www.jobsnepal.com/agro-forestry-trainerfinance-assistant-132570']
Retail Store Sales Associate,Vision Craft Nepal,Kathmandu,['https://www.jobsnepal.com/retail-store-sales-associate-132563']
RESERVATION OFFICER (FEMALE),Victoria Tours Nepal,Kathmandu,['https://www.jobsnepal.com/reservation-officer-female-132562']
Sr. Graphic Designer/Graphic Designer,Trikon Advertising Service,Kathmandu,['https://www.jobsnepal.com/sr-graphic-designergraphic-designer-132561']
Grants and Training Specialist,Chemonics International,Accounting and Finance,['https://www.jobsnepal.com/grants-and-training-specialist-132556']
QC Engineer & Frontend Developer,Nepasoft Solutions Pvt. Ltd.,Information Technology,['https://www.jobsnepal.com/qc-engineer-frontend-developer-132551']
Accountant,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/accountant-132550']
आशय पत्र आह्वान सम्बन्धी सूचना,Ratauli Yuba Club (RYC),Mahottari,['https://www.jobsnepal.com/aashaya-patara-aahavana-samabnathha-sacana-132539']
Front Dest Officer / Receiptionist,Uranus Tech Nepal Pvt Ltd,Kathmandu,['https://www.jobsnepal.com/front-dest-officer-receiptionist-132530']
Finance Head,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/finance-head-132528']
Senior Human Resource Officer,The Vesper House PVT Ltd,Lalitpur,['https://www.jobsnepal.com/senior-human-resource-officer-132526']
Receptionist,Easy Heli Charter Service Private Limited,Kathmandu,['https://www.jobsnepal.com/receptionist-132523']
Office Executive,Sita Air Limited,Kathmandu,['https://www.jobsnepal.com/office-executive-132514']
﻿Vacancy: LA and Math Teachers for Middle School,Kaasthamandap Vidhyalaya,Kathmandu,['https://www.jobsnepal.com/vacancy-la-and-math-teachers-for-middle-school-132494']
Web Content Writer (Remote),Outpace,Other - Specify,['https://www.jobsnepal.com/web-content-writer-remote-132486']
Machine Operator/ Technician,ims health product pvt ltd,Kathmandu,['https://www.jobsnepal.com/machine-operator-technician-132485']
Correspondance staff for a Travel Agency,Yeti Escape Pvt Ltd,Lalitpur,['https://www.jobsnepal.com/correspondance-staff-for-a-travel-agency-132484']
Chef,Local Restro & Bar,Kathmandu,['https://www.jobsnepal.com/chef-132482']
DevOps Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/devops-engineer-132451']
Sr. Python Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/sr-python-developer-132450']
﻿Java Developer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/java-developer-132449']
QA Automation Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/qa-automation-engineer-132447']
Software Engineer- Frontend (Angular),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/software-engineer-frontend-angular-132446']
Engineering Manager (Technical Manager - Full Stack .Net),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/engineering-manager-technical-manager-full-stack-net-132445']
﻿Software Engineer (NoSQL DBA),Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/software-engineer-nosql-dba-132444']
Python Data Engineer,Verisk Nepal Pvt. Ltd.,Kathmandu,['https://www.jobsnepal.com/python-data-engineer-132443']
